"sample","outcome_label","outcome_value","prediction","prob0","prob1","biomarkers"
"contact196","stoolneg",0,1,0.270214324800586,0.729785675199414,"Ogvctiter2_new_titers"
"contact196","stoolneg",0,1,0.233737342812846,0.766262657187154,"vibogaw"
"contact197","stoolneg",1,1,0.311817179462265,0.688182820537735,"vibogaw"
"contact197","stoolneg",1,1,0.263493710911551,0.736506289088449,"Ogvctiter2_new_titers"
"contact198","stoolneg",1,1,0.414358327267848,0.585641672732153,"vibogaw"
"contact198","stoolneg",1,1,0.376970238352979,0.623029761647021,"Ogvctiter2_new_titers"
"contact199","stoolneg",1,0,0.516023994078677,0.483976005921322,"vibogaw"
"contact199","stoolneg",1,1,0.429025894500237,0.570974105499763,"Ogvctiter2_new_titers"
"contact200","stoolneg",1,1,0.328275422500616,0.671724577499384,"vibogaw"
"contact200","stoolneg",1,1,0.428236394419135,0.571763605580864,"Ogvctiter2_new_titers"
"contact201","stoolneg",0,0,0.505397749262262,0.494602250737738,"vibogaw"
"contact201","stoolneg",0,1,0.387720712960072,0.612279287039928,"Ogvctiter2_new_titers"
"contact202","stoolneg",1,1,0.496919279185728,0.503080720814272,"vibogaw"
"contact202","stoolneg",1,1,0.433816612670096,0.566183387329904,"Ogvctiter2_new_titers"
"contact19","stoolneg",1,1,0.318158461610629,0.681841538389371,"vibogaw"
"contact19","stoolneg",1,1,0.394759695803852,0.605240304196148,"Ogvctiter2_new_titers"
"contact203","stoolneg",0,1,0.275277796579925,0.724722203420075,"vibogaw"
"contact203","stoolneg",0,1,0.39034960003447,0.60965039996553,"Ogvctiter2_new_titers"
"contact204","stoolneg",0,0,0.603795775535095,0.396204224464905,"vibogaw"
"contact204","stoolneg",0,1,0.357721438988428,0.642278561011571,"Ogvctiter2_new_titers"
"contact205","stoolneg",0,1,0.246630529751466,0.753369470248534,"vibogaw"
"contact205","stoolneg",0,1,0.456706344309286,0.543293655690714,"Ogvctiter2_new_titers"
"contact206","stoolneg",1,1,0.267379818938372,0.732620181061628,"Ogvctiter2_new_titers"
"contact206","stoolneg",1,1,0.350288552993275,0.649711447006725,"vibogaw"
"contact207","stoolneg",1,1,0.365763677245528,0.634236322754473,"Ogvctiter2_new_titers"
